song,stem,snr,target_dbrms,est_dbrms,dbdiff,variant,inference_mode,is_frozen,is_balanced,is_augmented,query_same
78ef22ce-472f-4f82-8656-16df73b9465f,drums,9.106209552648515,-26.24300479888916,-26.868734026632545,-0.6257292277433848,ev-d-pre,inference-d,N,N,N,diff.
78ef22ce-472f-4f82-8656-16df73b9465f,clean_electric_guitar,2.0189786916068844,-30.51690101623535,-32.48056553308398,-1.963664516848631,ev-d-pre,inference-d,N,N,N,diff.
491c1ff5-1e7b-4046-8029-a82d4a8aefb4,bass_guitar,10.51422689804868,-28.617262840271,-28.590046828927107,0.0272160113438886,ev-d-pre,inference-d,N,N,N,diff.
491c1ff5-1e7b-4046-8029-a82d4a8aefb4,drums,8.141713907420847,-33.496787548065186,-34.45653529842649,-0.959747750361302,ev-d-pre,inference-d,N,N,N,diff.
491c1ff5-1e7b-4046-8029-a82d4a8aefb4,acoustic_guitar,0.7582651256187325,-34.2979621887207,-35.079885010208926,-0.781922821488223,ev-d-pre,inference-d,N,N,N,diff.
491c1ff5-1e7b-4046-8029-a82d4a8aefb4,lead_male_singer,14.347046118300682,-27.82633781433105,-27.896673017546654,-0.070335203215599,ev-d-pre,inference-d,N,N,N,diff.
491c1ff5-1e7b-4046-8029-a82d4a8aefb4,grand_piano,3.00309754836244,-31.20717763900757,-34.184019678007104,-2.976842038999536,ev-d-pre,inference-d,N,N,N,diff.
491c1ff5-1e7b-4046-8029-a82d4a8aefb4,organ_electric_organ,-0.3080672188189748,-39.52744483947754,-43.334005363067725,-3.8065605235901856,ev-d-pre,inference-d,N,N,N,diff.
491c1ff5-1e7b-4046-8029-a82d4a8aefb4,pitched_percussion,-3.238736949263778,-35.389883518218994,-34.93343522048492,0.4564482977340773,ev-d-pre,inference-d,N,N,N,diff.
f0c565c5-fc73-4da1-b979-0fac0167f671,lead_female_singer,15.156288257417746,-27.85717010498047,-28.00032923963926,-0.1431591346587915,ev-d-pre,inference-d,N,N,N,diff.
f0c565c5-fc73-4da1-b979-0fac0167f671,bass_guitar,15.80011952289686,-28.74678373336792,-28.929796571941896,-0.1830128385739762,ev-d-pre,inference-d,N,N,N,diff.
f0c565c5-fc73-4da1-b979-0fac0167f671,drums,13.212254972206663,-29.20659065246582,-29.48957866488385,-0.2829880124180342,ev-d-pre,inference-d,N,N,N,diff.
f0c565c5-fc73-4da1-b979-0fac0167f671,acoustic_guitar,9.38643162961739,-30.221426486968998,-30.812038557680825,-0.5906120707118312,ev-d-pre,inference-d,N,N,N,diff.
6de41c50-0c49-4528-b60b-75c45d3630f4,distorted_electric_guitar,5.682475009775855,-27.109479904174805,-28.52869549683732,-1.4192155926625176,ev-d-pre,inference-d,N,N,N,diff.
6de41c50-0c49-4528-b60b-75c45d3630f4,bass_guitar,8.582946031242729,-24.397687911987305,-24.60109703277471,-0.2034091207874055,ev-d-pre,inference-d,N,N,N,diff.
6de41c50-0c49-4528-b60b-75c45d3630f4,drums,6.579772961776281,-27.19066858291626,-27.842666876358976,-0.6519982934427162,ev-d-pre,inference-d,N,N,N,diff.
6de41c50-0c49-4528-b60b-75c45d3630f4,lead_male_singer,8.577289699003014,-27.79231548309326,-28.72049053772262,-0.9281750546293566,ev-d-pre,inference-d,N,N,N,diff.
25789239-1075-43b9-bfc9-51dff4a29590,distorted_electric_guitar,2.9711682035240425,-30.976533889770508,-31.334863109104678,-0.3583292193341663,ev-d-pre,inference-d,N,N,N,diff.
25789239-1075-43b9-bfc9-51dff4a29590,bass_guitar,5.521623076905406,-32.09733009338379,-31.69554307239001,0.4017870209937833,ev-d-pre,inference-d,N,N,N,diff.
25789239-1075-43b9-bfc9-51dff4a29590,drums,7.621557729750314,-26.580941677093502,-27.72215705242754,-1.1412153753340348,ev-d-pre,inference-d,N,N,N,diff.
25789239-1075-43b9-bfc9-51dff4a29590,lead_male_singer,5.620628815645996,-31.94297790527344,-33.17539340082858,-1.232415495555145,ev-d-pre,inference-d,N,N,N,diff.
25789239-1075-43b9-bfc9-51dff4a29590,background_vocals,-3.624683057173084,-35.27721643447876,-33.380876633663064,1.896339800815696,ev-d-pre,inference-d,N,N,N,diff.
25789239-1075-43b9-bfc9-51dff4a29590,organ_electric_organ,1.0443123898601288,-35.99591255187988,-44.29048020662815,-8.294567654748263,ev-d-pre,inference-d,N,N,N,diff.
dc61c44e-a771-47a9-8934-a0eb8f3e08ac,distorted_electric_guitar,1.874804167302485,-30.231847763061523,-29.776932237459093,0.4549155256024306,ev-d-pre,inference-d,N,N,N,diff.
dc61c44e-a771-47a9-8934-a0eb8f3e08ac,bass_guitar,4.3328129972803895,-32.186739444732666,-33.00543630262634,-0.8186968578936771,ev-d-pre,inference-d,N,N,N,diff.
dc61c44e-a771-47a9-8934-a0eb8f3e08ac,drums,10.568261205416691,-27.803468704223636,-28.305802759464047,-0.5023340552404143,ev-d-pre,inference-d,N,N,N,diff.
dc61c44e-a771-47a9-8934-a0eb8f3e08ac,lead_male_singer,3.4673190232771955,-30.83712100982666,-34.39855578470896,-3.5614347748823008,ev-d-pre,inference-d,N,N,N,diff.
dc61c44e-a771-47a9-8934-a0eb8f3e08ac,synth_lead,1.3928189883156337,-33.625075817108154,-41.10327986624402,-7.478204049135869,ev-d-pre,inference-d,N,N,N,diff.
