song,stem,snr
704f1de9-1d02-4c2b-af05-107a7700a51d,bass,9.485202148993865
704f1de9-1d02-4c2b-af05-107a7700a51d,drums,12.618930688227474
704f1de9-1d02-4c2b-af05-107a7700a51d,vdbo_others,1.3405566782148521
704f1de9-1d02-4c2b-af05-107a7700a51d,vocals,10.22092687514381
8a6c9c1f-4865-404f-a805-1949de36a33c,bass,17.69347133664023
8a6c9c1f-4865-404f-a805-1949de36a33c,drums,11.757290375396398
8a6c9c1f-4865-404f-a805-1949de36a33c,vdbo_others,11.728644369595356
8a6c9c1f-4865-404f-a805-1949de36a33c,vocals,13.991085392944722
0358fd1e-244a-4422-9a42-29b5d68f6e4b,bass,
0358fd1e-244a-4422-9a42-29b5d68f6e4b,drums,3.136829938801236
0358fd1e-244a-4422-9a42-29b5d68f6e4b,vdbo_others,4.322652106383645
0358fd1e-244a-4422-9a42-29b5d68f6e4b,vocals,7.371311925568148
1afe1b3b-3e2e-48d3-b859-f50e222cbaf4,bass,15.237456293550089
1afe1b3b-3e2e-48d3-b859-f50e222cbaf4,drums,6.423079226041156
1afe1b3b-3e2e-48d3-b859-f50e222cbaf4,vdbo_others,7.21364704724736
1afe1b3b-3e2e-48d3-b859-f50e222cbaf4,vocals,7.470208451770885
78ef22ce-472f-4f82-8656-16df73b9465f,bass,14.378763260695575
78ef22ce-472f-4f82-8656-16df73b9465f,drums,8.82347000010927
78ef22ce-472f-4f82-8656-16df73b9465f,vdbo_others,7.623443774297325
78ef22ce-472f-4f82-8656-16df73b9465f,vocals,10.83075528512687
491c1ff5-1e7b-4046-8029-a82d4a8aefb4,bass,11.746956613077643
491c1ff5-1e7b-4046-8029-a82d4a8aefb4,drums,8.677030049824188
491c1ff5-1e7b-4046-8029-a82d4a8aefb4,vdbo_others,10.091971817699228
491c1ff5-1e7b-4046-8029-a82d4a8aefb4,vocals,14.714487387218579
f0c565c5-fc73-4da1-b979-0fac0167f671,bass,15.669964016947466
f0c565c5-fc73-4da1-b979-0fac0167f671,drums,12.889714261628358
f0c565c5-fc73-4da1-b979-0fac0167f671,vdbo_others,9.983147304805527
f0c565c5-fc73-4da1-b979-0fac0167f671,vocals,15.542179364018942
6de41c50-0c49-4528-b60b-75c45d3630f4,bass,8.98308472304171
6de41c50-0c49-4528-b60b-75c45d3630f4,drums,6.969818082443676
6de41c50-0c49-4528-b60b-75c45d3630f4,vdbo_others,5.922410273357119
6de41c50-0c49-4528-b60b-75c45d3630f4,vocals,9.109924699714828
25789239-1075-43b9-bfc9-51dff4a29590,bass,6.715865180865228
25789239-1075-43b9-bfc9-51dff4a29590,drums,8.36559035668407
25789239-1075-43b9-bfc9-51dff4a29590,vdbo_others,5.3166787491291
25789239-1075-43b9-bfc9-51dff4a29590,vocals,6.834541745306405
dc61c44e-a771-47a9-8934-a0eb8f3e08ac,bass,4.712536292834958
dc61c44e-a771-47a9-8934-a0eb8f3e08ac,drums,10.056818393577435
dc61c44e-a771-47a9-8934-a0eb8f3e08ac,vdbo_others,6.444037321504944
dc61c44e-a771-47a9-8934-a0eb8f3e08ac,vocals,4.912103628766598
07fb2df2-91d6-458d-9230-9638b4edac08,bass,6.981756285832226
07fb2df2-91d6-458d-9230-9638b4edac08,drums,13.010849849135013
07fb2df2-91d6-458d-9230-9638b4edac08,vdbo_others,10.240791747929418
07fb2df2-91d6-458d-9230-9638b4edac08,vocals,7.706867548119677
3c557409-3a34-43c2-9159-5421bbad5ecb,bass,8.74543222742102
3c557409-3a34-43c2-9159-5421bbad5ecb,drums,8.830158969819593
3c557409-3a34-43c2-9159-5421bbad5ecb,vdbo_others,6.743646937158258
3c557409-3a34-43c2-9159-5421bbad5ecb,vocals,7.4092084271731595
28748b6e-6125-42f7-998d-2ad734e39b6c,bass,8.632097279780744
28748b6e-6125-42f7-998d-2ad734e39b6c,drums,9.321093098455812
28748b6e-6125-42f7-998d-2ad734e39b6c,vdbo_others,-2.374731082792447
28748b6e-6125-42f7-998d-2ad734e39b6c,vocals,9.496922198885828
1a32e987-cae8-458f-9c26-d9a6abf5348d,bass,8.613799599195872
1a32e987-cae8-458f-9c26-d9a6abf5348d,drums,12.391153464690245
1a32e987-cae8-458f-9c26-d9a6abf5348d,vdbo_others,7.315510219534508
1a32e987-cae8-458f-9c26-d9a6abf5348d,vocals,11.42657186288945
0d528a19-cb0f-4421-b250-444f9343e51c,bass,13.244481626598423
0d528a19-cb0f-4421-b250-444f9343e51c,drums,9.946734859564259
0d528a19-cb0f-4421-b250-444f9343e51c,vdbo_others,4.41021114063492
0d528a19-cb0f-4421-b250-444f9343e51c,vocals,9.25096095999907
215391aa-1168-42dd-9cab-f8b0c6ff566b,bass,5.712573392733189
215391aa-1168-42dd-9cab-f8b0c6ff566b,drums,7.633909380177992
215391aa-1168-42dd-9cab-f8b0c6ff566b,vdbo_others,6.556982501192477
215391aa-1168-42dd-9cab-f8b0c6ff566b,vocals,7.48394851857779
606e3380-b062-4b74-88ac-b60d6f4d0a37,bass,12.252953181358272
606e3380-b062-4b74-88ac-b60d6f4d0a37,drums,4.113848103869443
606e3380-b062-4b74-88ac-b60d6f4d0a37,vdbo_others,5.113408624525015
606e3380-b062-4b74-88ac-b60d6f4d0a37,vocals,12.229931954929427
5640831d-7853-4d06-8166-988e2844b652,bass,9.930388761619891
5640831d-7853-4d06-8166-988e2844b652,drums,8.07028656570555
5640831d-7853-4d06-8166-988e2844b652,vdbo_others,4.462795678023644
5640831d-7853-4d06-8166-988e2844b652,vocals,8.894229125664296
a199697c-3cdc-47c7-a9c7-c1b07dd6c9dd,bass,7.346490134825315
a199697c-3cdc-47c7-a9c7-c1b07dd6c9dd,drums,8.6662447206158
a199697c-3cdc-47c7-a9c7-c1b07dd6c9dd,vdbo_others,5.3921208363836115
a199697c-3cdc-47c7-a9c7-c1b07dd6c9dd,vocals,8.84985873618828
11845abc-8ca3-4fb2-bd84-521aeeff56f4,bass,-0.2764087795437262
11845abc-8ca3-4fb2-bd84-521aeeff56f4,drums,12.24881394679577
11845abc-8ca3-4fb2-bd84-521aeeff56f4,vdbo_others,0.09306403430667307
11845abc-8ca3-4fb2-bd84-521aeeff56f4,vocals,12.225016367829634
48c78ca6-18e9-42f2-9f05-fdbee90a7786,bass,8.48904679925015
48c78ca6-18e9-42f2-9f05-fdbee90a7786,drums,11.663303216275374
48c78ca6-18e9-42f2-9f05-fdbee90a7786,vdbo_others,3.471809125136478
48c78ca6-18e9-42f2-9f05-fdbee90a7786,vocals,11.567187900972545
88b545e5-4d06-4d55-a306-1bd3a2915ee5,bass,10.69622588962569
88b545e5-4d06-4d55-a306-1bd3a2915ee5,drums,10.053383601488763
88b545e5-4d06-4d55-a306-1bd3a2915ee5,vdbo_others,7.925352151611823
88b545e5-4d06-4d55-a306-1bd3a2915ee5,vocals,14.239155182929126
c6d73235-1dd5-4085-a3b3-50a3466c6168,bass,8.475194317704133
c6d73235-1dd5-4085-a3b3-50a3466c6168,drums,10.512722126031694
c6d73235-1dd5-4085-a3b3-50a3466c6168,vdbo_others,4.912388872777399
c6d73235-1dd5-4085-a3b3-50a3466c6168,vocals,4.241216979915136
93dda0e8-dd76-49e4-b08f-54a82387cdf6,bass,11.548462121168741
93dda0e8-dd76-49e4-b08f-54a82387cdf6,drums,5.003226423130216
93dda0e8-dd76-49e4-b08f-54a82387cdf6,vdbo_others,6.191927982807125
93dda0e8-dd76-49e4-b08f-54a82387cdf6,vocals,8.426897360187176
4999a0bf-a753-4e0e-85b1-690259dabf96,bass,11.947013659889073
4999a0bf-a753-4e0e-85b1-690259dabf96,drums,7.625324678215231
4999a0bf-a753-4e0e-85b1-690259dabf96,vdbo_others,5.7997070441653475
4999a0bf-a753-4e0e-85b1-690259dabf96,vocals,9.005888519668657
35983cdd-3903-46cb-b184-f96274ced57b,bass,12.184574501272145
