song,stem,snr,variant,inference_mode
28748b6e-6125-42f7-998d-2ad734e39b6c,vocals,5.897284301263232,vdb-d-nopre,inference-d
28748b6e-6125-42f7-998d-2ad734e39b6c,lead_vocals,5.897284301263232,vdb-d-nopre,inference-d
28748b6e-6125-42f7-998d-2ad734e39b6c,drums,8.551631203113066,vdb-d-nopre,inference-d
28748b6e-6125-42f7-998d-2ad734e39b6c,bass,8.493847763020755,vdb-d-nopre,inference-d
28748b6e-6125-42f7-998d-2ad734e39b6c,residual,-3.261608676900933,vdb-d-nopre,inference-d
1a32e987-cae8-458f-9c26-d9a6abf5348d,vocals,10.429295118759903,vdb-d-nopre,inference-d
1a32e987-cae8-458f-9c26-d9a6abf5348d,lead_vocals,10.429295118759903,vdb-d-nopre,inference-d
1a32e987-cae8-458f-9c26-d9a6abf5348d,drums,11.400935293033045,vdb-d-nopre,inference-d
1a32e987-cae8-458f-9c26-d9a6abf5348d,bass,6.822247023871989,vdb-d-nopre,inference-d
1a32e987-cae8-458f-9c26-d9a6abf5348d,residual,5.750027720227308,vdb-d-nopre,inference-d
0d528a19-cb0f-4421-b250-444f9343e51c,vocals,7.86694006426453,vdb-d-nopre,inference-d
0d528a19-cb0f-4421-b250-444f9343e51c,lead_vocals,8.682847793309744,vdb-d-nopre,inference-d
0d528a19-cb0f-4421-b250-444f9343e51c,drums,9.40524694919328,vdb-d-nopre,inference-d
0d528a19-cb0f-4421-b250-444f9343e51c,bass,12.183593938238392,vdb-d-nopre,inference-d
0d528a19-cb0f-4421-b250-444f9343e51c,residual,3.2737440557109694,vdb-d-nopre,inference-d
215391aa-1168-42dd-9cab-f8b0c6ff566b,vocals,3.7576848971171066,vdb-d-nopre,inference-d
215391aa-1168-42dd-9cab-f8b0c6ff566b,lead_vocals,3.7576848971171066,vdb-d-nopre,inference-d
215391aa-1168-42dd-9cab-f8b0c6ff566b,drums,7.458024363758343,vdb-d-nopre,inference-d
215391aa-1168-42dd-9cab-f8b0c6ff566b,bass,4.864987909716375,vdb-d-nopre,inference-d
215391aa-1168-42dd-9cab-f8b0c6ff566b,residual,3.509138384318933,vdb-d-nopre,inference-d
606e3380-b062-4b74-88ac-b60d6f4d0a37,vocals,10.561392090750651,vdb-d-nopre,inference-d
606e3380-b062-4b74-88ac-b60d6f4d0a37,lead_vocals,10.561392090750651,vdb-d-nopre,inference-d
606e3380-b062-4b74-88ac-b60d6f4d0a37,drums,3.657209305192508,vdb-d-nopre,inference-d
606e3380-b062-4b74-88ac-b60d6f4d0a37,bass,10.449688949181635,vdb-d-nopre,inference-d
606e3380-b062-4b74-88ac-b60d6f4d0a37,residual,3.320612136736583,vdb-d-nopre,inference-d
5640831d-7853-4d06-8166-988e2844b652,vocals,7.119053169323619,vdb-d-nopre,inference-d
5640831d-7853-4d06-8166-988e2844b652,lead_vocals,5.294967123446569,vdb-d-nopre,inference-d
5640831d-7853-4d06-8166-988e2844b652,drums,7.321119005698384,vdb-d-nopre,inference-d
5640831d-7853-4d06-8166-988e2844b652,bass,9.734767251153993,vdb-d-nopre,inference-d
5640831d-7853-4d06-8166-988e2844b652,residual,1.9776432410180447,vdb-d-nopre,inference-d
a199697c-3cdc-47c7-a9c7-c1b07dd6c9dd,vocals,6.6600524665166025,vdb-d-nopre,inference-d
a199697c-3cdc-47c7-a9c7-c1b07dd6c9dd,lead_vocals,7.194326235321204,vdb-d-nopre,inference-d
a199697c-3cdc-47c7-a9c7-c1b07dd6c9dd,drums,7.787691095686569,vdb-d-nopre,inference-d
a199697c-3cdc-47c7-a9c7-c1b07dd6c9dd,bass,6.502395186666052,vdb-d-nopre,inference-d
a199697c-3cdc-47c7-a9c7-c1b07dd6c9dd,residual,2.9826237605088126,vdb-d-nopre,inference-d
11845abc-8ca3-4fb2-bd84-521aeeff56f4,vocals,10.155160091813915,vdb-d-nopre,inference-d
11845abc-8ca3-4fb2-bd84-521aeeff56f4,lead_vocals,10.155160091813915,vdb-d-nopre,inference-d
11845abc-8ca3-4fb2-bd84-521aeeff56f4,drums,12.01625451978028,vdb-d-nopre,inference-d
11845abc-8ca3-4fb2-bd84-521aeeff56f4,residual,0.09698028737345572,vdb-d-nopre,inference-d
48c78ca6-18e9-42f2-9f05-fdbee90a7786,vocals,10.18069659786297,vdb-d-nopre,inference-d
48c78ca6-18e9-42f2-9f05-fdbee90a7786,lead_vocals,10.18069659786297,vdb-d-nopre,inference-d
48c78ca6-18e9-42f2-9f05-fdbee90a7786,drums,10.849960182292307,vdb-d-nopre,inference-d
48c78ca6-18e9-42f2-9f05-fdbee90a7786,residual,-5.096620909574784,vdb-d-nopre,inference-d
88b545e5-4d06-4d55-a306-1bd3a2915ee5,vocals,12.97500798373335,vdb-d-nopre,inference-d
88b545e5-4d06-4d55-a306-1bd3a2915ee5,lead_vocals,12.97500798373335,vdb-d-nopre,inference-d
88b545e5-4d06-4d55-a306-1bd3a2915ee5,drums,9.52584023272429,vdb-d-nopre,inference-d
88b545e5-4d06-4d55-a306-1bd3a2915ee5,bass,9.563273951355681,vdb-d-nopre,inference-d
88b545e5-4d06-4d55-a306-1bd3a2915ee5,residual,2.081038795929839,vdb-d-nopre,inference-d
c6d73235-1dd5-4085-a3b3-50a3466c6168,vocals,4.982707546855404,vdb-d-nopre,inference-d
c6d73235-1dd5-4085-a3b3-50a3466c6168,lead_vocals,4.982707546855404,vdb-d-nopre,inference-d
c6d73235-1dd5-4085-a3b3-50a3466c6168,drums,9.70905481958403,vdb-d-nopre,inference-d
c6d73235-1dd5-4085-a3b3-50a3466c6168,bass,6.938848906041708,vdb-d-nopre,inference-d
c6d73235-1dd5-4085-a3b3-50a3466c6168,residual,4.979469148338031,vdb-d-nopre,inference-d
